id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
4A1hNHB82Ok9x2HksG21MJ,Excuse Me,Salvador Sobral,0.616,0.354,2,-11.176,1,0.555,0.000135,0.101,0.41,105.466,263102,4,2017
63QY4B9i0QlKkuldsZ5CNL,Coisa Linda,Tiago Iorc,0.68,0.511,1,-8.956,1,0.332,0.0263,0.0974,0.184,94.016,180137,4,2017
5caUpMNinz52sFOHqGMOdd,Carta,Toranja,0.541,0.333,0,-10.712,1,0.24,0.00135,0.0919,0.183,80.0,259400,4,2017
0jpsrlzDDRxitKz41vsnsx,Compromise,Kyle Lionhart,0.579,0.437,11,-10.669,0,0.582,3.42e-06,0.115,0.12,114.41,254667,4,2017
1W4SLYqNQsxCSIWpDLXyJN,Canção De Engate - Acoustic Version,Tiago Bettencourt,0.243,0.642,8,-6.67,1,0.251,0.0309,0.882,0.179,73.643,324733,3,2017
41MiXBbreuJWwDiu1D22Tp,Nem eu,Salvador Sobral,0.402,0.0331,0,-18.467,1,0.984,0.00692,0.0861,0.332,89.701,194429,5,2017
0vY0Kn5TJewioo4yUUAJC0,Vida Boa,Slow J,0.581,0.507,5,-8.195,0,0.0326,5.45e-05,0.206,0.565,124.403,234313,4,2017
6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),Ed Sheeran,0.617,0.439,9,-5.63,1,0.424,0.0,0.127,0.242,139.979,280533,4,2017
4nAyv6465LBywy7tOx78bc,Party Monster,The Weeknd,0.582,0.621,1,-8.332,1,0.188,1.71e-05,0.299,0.225,77.555,249213,4,2017
4zf0YxjawF0Ao3aiLEbCED,Come A Little Closer,Cage The Elephant,0.452,0.795,6,-1.797,0,0.0208,1.38e-06,0.171,0.341,147.961,229347,4,2017
5qLTGDTTIHxxIU835qJWfT,Quero Ser Feliz Também - Ao Vivo,Natiruts,0.755,0.55,8,-7.402,0,0.427,0.0,0.697,0.757,91.96,214613,4,2017
0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,0.624,0.876,9,-3.374,1,0.0735,0.0,0.327,0.781,99.943,170827,4,2017
